Date,Open,High,Low,Close,% Change,% Change vs Average,Volume,SMA_20,SMA_50,RSI,Price_Change,Signal,Signal_Label
2018-03-14 18:30:00+00:00,1304.9,1309.6,1292.1,1295.1,-0.63,-0.67,"11,78,352",1304.4950000000001,1336.924,50.791220010209265,-0.006253596777287651,0,Hold
2018-03-15 18:30:00+00:00,1299.9,1303.9,1260.4,1269.3,-1.99,-2.03,"51,52,611",1300.4424999999999,1337.315,42.358490566037716,-0.019921241602964934,-1,Sell
2018-03-18 18:30:00+00:00,1280.0,1292.0,1265.85,1279.55,0.81,0.77,"44,52,882",1298.0,1337.4,31.99777406789093,0.008075317103915625,-1,Sell
2018-03-19 18:30:00+00:00,1275.0,1300.0,1275.0,1293.5,1.09,1.05,"28,31,066",1297.9,1336.9560000000001,38.10666666666669,0.010902270329412822,-1,Sell
2018-03-20 18:30:00+00:00,1295.0,1313.6,1295.0,1309.35,1.23,1.18,"28,35,466",1298.8375,1336.845,47.600872410032665,0.012253575570158493,-1,Sell
2018-03-21 18:30:00+00:00,1314.8,1321.4,1289.0,1296.25,-1.0,-1.04,"18,34,024",1299.51,1336.005,45.10462412813225,-0.010004964295260987,0,Hold
2018-03-22 18:30:00+00:00,1278.6,1283.3,1261.5,1267.9,-2.19,-2.23,"22,80,525",1298.3049999999998,1334.7079999999999,42.09257473481196,-0.021870781099324943,-1,Sell
2018-03-25 18:30:00+00:00,1268.0,1300.1,1268.0,1297.4,2.33,2.29,"16,97,069",1298.09,1334.181,53.18761384335155,0.02326681914977513,-1,Sell
2018-03-26 18:30:00+00:00,1307.0,1314.0,1301.0,1307.55,0.78,0.74,"20,03,736",1296.2549999999999,1333.861,60.55330312425473,0.007823338985663453,-1,Sell
2018-03-27 18:30:00+00:00,1301.1,1325.0,1292.4,1310.9,0.26,0.22,"39,89,865",1294.895,1333.496,57.038961038961084,0.0025620435165003563,-1,Sell
2018-04-01 18:30:00+00:00,1313.0,1339.5,1312.05,1335.95,1.91,1.87,"13,02,024",1295.7849999999999,1333.6960000000001,60.77780412615606,0.01910900907773283,-1,Sell
2018-04-02 18:30:00+00:00,1332.75,1339.0,1318.05,1330.4,-0.42,-0.46,"11,23,582",1296.545,1333.78,55.16891033782072,-0.004154347093828337,0,Hold
2018-04-03 18:30:00+00:00,1331.0,1332.7,1290.2,1296.15,-2.57,-2.62,"12,85,513",1296.3175,1332.636,48.52546916890083,-0.0257441371016236,0,Hold
2018-04-04 18:30:00+00:00,1314.0,1335.05,1311.0,1328.8,2.52,2.48,"17,58,313",1298.5875,1331.996,54.99120922055089,0.025189985726960407,-1,Sell
